PLAYER,MY_RANK,TIER,ADP,PCT_DRAFTED,ADP_PREV,YAHOO_RANK,X_RANK,AVOID,NOTE
Lawson Lovering,,,,,,571.0,,True,
LeBron James,39,,40.7,100.0,40.7,42.0,42.0,False,
Leaky Black,,,,,,450.0,,True,
Leonard Miller,,,,,,364.0,,True,
Lonzo Ball,,,,,,351.0,,True,
Lucas Williamson,,,,,,499.0,,True,
Luguentz Dort,,,,,,264.0,196.0,False,
Luka Doncic,3,,4.7,100.0,4.7,3.0,3.0,False,
Luka Garza,,,,,,298.0,289.0,True,
Luke Kennard,,,87.5,3.0,87.5,255.0,238.0,False,
Luke Kornet,,,87.5,3.0,87.5,220.0,219.0,False,
Malachi Smith,,,,,,445.0,,True,
Malik Monk,,,,,,197.0,208.0,False,
Marcus Smart,,,,,,278.0,271.0,False,
Mark Williams,,,102.6,97.0,102.6,96.0,252.0,True,
Marvin Bagley III,,,,,,221.0,285.0,False,
Matas Buzelis,66,,59.3,100.0,59.4,83.0,80.0,False,
Matisse Thybulle,,,,,,346.0,,True,
Max Christie,,,,,,219.0,212.0,False,
Max Strus,,,,,,235.0,184.0,False,
Maxime Raynaud,138,,121.1,46.0,121.1,127.0,135.0,False,
Micah Potter,,,,,,311.0,,True,
Michael Porter Jr.,89,,67.9,99.0,67.8,67.0,53.0,False,
Mikal Bridges,117,,75.8,99.0,75.8,73.0,78.0,False,
Mike Conley,,,,,,305.0,295.0,True,
Mikel Brown Jr.,146,,122.4,2.0,122.4,,201.0,False,
Miles Bridges,127,,98.4,99.0,98.5,104.0,98.0,False,
Miles McBride,,,,,,294.0,195.0,False,
Mitchell Robinson,,,109.9,5.0,109.9,188.0,178.0,False,
Morez Johnson Jr.,,,123.0,3.0,123.0,,159.0,False,
Moritz Wagner,,,,,,,241.0,True,
Moses Moody,,,,,,259.0,257.0,False,
Mouhamadou Gueye,,,,,,565.0,,True,
Mouhamed Gueye,,,,,,290.0,282.0,True,
Moussa Cisse,,,,,,218.0,,True,
Moussa Diabate,109,,100.3,3.0,98.7,177.0,145.0,False,
Myles Turner,97,,95.6,100.0,95.4,95.0,99.0,False,
Nae'Qwan Tomlin,,,,,,330.0,,True,
Naji Marshall,,,,,,203.0,210.0,False,
Naz Reid,60,,64.9,99.0,64.8,61.0,56.0,False,
Neemias Queta,111,,104.9,98.0,104.8,100.0,118.0,False,
Nic Claxton,70,,95.4,99.0,95.3,98.0,86.0,False,
Nickeil Alexander-Walker,72,,59.4,99.0,59.4,55.0,54.0,False,
Nicolas Batum,,,,,,289.0,280.0,True,
Nikola Jokic,1,,2.7,100.0,2.7,2.0,2.0,False,
Nikola Vucevic,141,,111.9,13.0,111.9,174.0,144.0,False,
Nique Clifford,,,,,,214.0,,True,
Noah Clowney,,,,,,279.0,217.0,False,
Norman Powell,64,,93.8,99.0,93.8,91.0,85.0,False,
OG Anunoby,55,,61.3,99.0,61.3,60.0,71.0,False,
