PLAYER,TEAM,POS,STATUS,PRE_RANK,CUR_RANK,PCT_OWNED,GP,MIN,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,PTS,REB,AST,STL,BLK,TOV
Nikola Jokić,DEN,"C",,2,1,100%,65,34:51,9.9,17.4,.569,6.1,7.4,.831,1.7,27.7,12.9,10.7,1.4,0.8,3.7
Victor Wembanyama,SAS,"C",,1,2,100%,64,29:09,8.6,16.9,.512,5.8,7.0,.827,1.9,25.0,11.5,3.1,1.0,3.1,2.4
Shai Gilgeous-Alexander,OKC,"PG",,4,3,100%,68,33:13,10.8,19.4,.553,7.9,9.0,.879,1.7,31.1,4.3,6.6,1.4,0.8,2.2
Kawhi Leonard,LAC,"SG,SF,PF",,18,4,99%,65,32:04,9.8,19.4,.505,5.7,6.4,.892,2.6,27.9,6.4,3.6,1.9,0.4,2.0
Tyrese Maxey,PHI,"PG",,6,5,100%,70,38:00,9.9,21.4,.462,5.3,6.0,.892,3.1,28.3,4.1,6.6,1.9,0.8,2.4
Luka Dončić,LAL,"PG,SG",,3,6,100%,64,35:46,10.8,22.8,.476,7.9,10.1,.780,4.0,33.5,7.7,8.3,1.6,0.5,4.0
Donovan Mitchell,CLE,"PG,SG",,11,7,99%,70,33:27,9.7,20.0,.483,5.3,6.1,.865,3.2,27.9,4.5,5.7,1.5,0.3,2.8
Jamal Murray,DEN,"PG",,17,8,99%,75,35:21,8.8,18.1,.483,4.6,5.2,.887,3.3,25.4,4.4,7.1,0.9,0.4,2.3
Stephen Curry,GSW,"PG",,25,9,99%,43,30:54,8.7,18.6,.468,4.7,5.1,.923,4.4,26.6,3.6,4.7,1.1,0.4,2.8
Lauri Markkanen,UTA,"SF,PF",,44,10,95%,42,34:21,9.1,19.2,.477,5.7,6.4,.896,2.7,26.7,6.9,2.1,1.0,0.5,1.5
Trey Murphy III,NOP,"SG,SF",,30,11,97%,66,35:28,7.5,15.9,.470,3.3,3.7,.886,3.2,21.5,5.7,3.8,1.5,0.4,1.8
Walker Kessler,LAL,"C",,26,12,99%,5,30:48,5.2,7.4,.703,2.8,4.0,.700,1.2,14.4,10.8,3.0,1.4,1.8,3.2
Scottie Barnes,TOR,"SF,PF,C",,15,13,99%,80,33:30,7.1,14.0,.507,3.0,3.7,.815,0.9,18.1,7.5,5.9,1.4,1.5,2.6
Anthony Edwards,MIN,"PG,SG",,8,14,100%,61,35:01,9.9,20.2,.489,5.7,7.2,.796,3.4,28.8,5.0,3.7,1.4,0.8,2.9
Kevin Porter Jr.,MIL,"PG,SG",GTD,110,15,61%,38,33:10,6.3,13.5,.465,3.6,4.1,.878,1.2,17.4,5.2,7.4,2.2,0.5,2.9
Kevin Durant,HOU,"SG,SF,PF",GTD,14,16,99%,78,36:24,9.2,17.6,.520,5.2,6.0,.874,2.4,26.0,5.5,4.8,0.8,0.9,3.2
Chet Holmgren,OKC,"PF,C",,19,17,99%,69,28:56,6.3,11.3,.557,3.3,4.1,.792,1.3,17.1,8.9,1.7,0.6,1.9,1.6
Kadary Richmond,WAS,"SF,PF",NA,519,18,0%,3,22:19,3.3,5.3,.625,1.0,1.0,1.000,0.7,8.3,3.3,2.7,2.7,0.3,0.7
Anthony Davis,WAS,"PF,C",GTD,21,19,99%,20,31:18,8.5,16.7,.506,3.0,4.1,.728,0.5,20.4,11.1,2.8,1.1,1.7,2.1
Jalen Johnson,ATL,"SF,PF",,10,20,100%,72,35:10,8.3,17.1,.489,4.2,5.3,.788,1.7,22.5,10.3,7.9,1.2,0.4,3.4
Cade Cunningham,DET,"PG,SG",,5,21,99%,64,33:56,8.6,18.6,.461,4.8,6.0,.812,2.0,23.9,5.5,9.9,1.4,0.8,3.7
Jayson Tatum,BOS,"SF,PF",GTD,7,22,100%,16,32:37,7.4,17.9,.411,4.1,4.9,.823,2.9,21.8,10.0,5.3,1.4,0.2,2.4
Karl-Anthony Towns,NYK,"PF,C",,16,23,100%,75,30:57,6.9,13.8,.501,4.8,5.5,.858,1.5,20.1,11.9,3.0,0.9,0.5,2.5
James Harden,CLE,"PG,SG",,35,24,98%,70,34:49,7.0,16.0,.434,6.6,7.5,.884,3.1,23.6,4.8,8.0,1.1,0.4,3.5
Joel Embiid,PHI,"C",,48,25,97%,38,31:36,9.0,18.3,.489,7.5,8.8,.854,1.4,26.9,7.7,3.9,0.6,1.2,2.9
Michael Porter Jr.,BKN,"SF,PF",,67,26,86%,52,32:28,8.5,18.4,.463,3.8,4.4,.859,3.4,24.2,7.1,3.0,1.1,0.3,2.3
Jimmy Butler III,GSW,"SF,PF",INJ,129,27,61%,38,31:06,6.3,12.2,.519,6.5,7.6,.864,0.8,20.0,5.6,4.9,1.4,0.2,1.6
N. Alexander-Walker,ATL,"PG,SG",,55,28,88%,78,33:22,7.0,15.3,.459,3.6,3.9,.902,3.2,20.8,3.4,3.7,1.3,0.5,2.1
Derrick White,BOS,"PG,SG",,39,29,95%,77,34:05,5.7,14.4,.394,2.4,2.6,.902,2.7,16.5,4.4,5.4,1.1,1.3,1.7
Austin Reaves,LAL,"PG,SG,SF",,24,30,99%,51,34:33,7.3,14.9,.490,6.3,7.3,.871,2.3,23.3,4.7,5.5,1.1,0.4,3.0
Ty Jerome,MEM,"PG,SG",,87,31,74%,15,22:36,6.8,14.3,.474,3.3,3.7,.875,2.8,19.7,2.8,5.7,1.1,0.3,1.8
Jalen Duren,DET,"C",,29,32,98%,70,28:13,7.5,11.5,.650,4.6,6.1,.747,0.0,19.5,10.5,2.0,0.8,0.8,1.9
Paul George,BOS,"SF,PF",,75,33,82%,37,30:40,6.1,13.9,.439,2.5,3.0,.820,2.7,17.3,5.3,3.6,1.7,0.4,1.7
Amen Thompson,HOU,"PG,SG",,31,34,98%,79,37:22,7.1,13.2,.534,3.8,4.9,.779,0.3,18.3,7.8,5.3,1.5,0.6,2.4
Donovan Clingan,POR,"C",,38,35,96%,77,27:11,4.6,8.9,.520,1.8,2.6,.680,1.1,12.1,11.6,2.1,0.6,1.7,1.2
Bam Adebayo,MIA,"PF,C",GTD,36,36,99%,73,32:24,6.9,15.7,.442,4.5,5.8,.778,1.7,20.1,10.0,3.2,1.2,0.7,1.6
Onyeka Okongwu,ATL,"C",,57,37,88%,74,31:02,5.6,11.6,.480,2.1,2.7,.757,1.9,15.2,7.6,3.1,1.1,1.1,1.7
OG Anunoby,NYK,"SF,PF",,60,38,90%,67,33:11,5.8,12.0,.484,2.7,3.3,.828,2.3,16.7,5.2,2.2,1.6,0.7,1.8
Zach Edey,MEM,"C",GTD,62,39,84%,11,25:49,5.6,8.9,.633,2.3,2.9,.781,0.1,13.6,11.1,1.1,0.6,1.9,2.4
Mikal Bridges,NYK,"SF,PF",,73,40,84%,82,32:49,5.8,11.7,.490,1.0,1.2,.827,1.9,14.4,3.8,3.7,1.3,0.8,1.0
Keyonte George,UTA,"PG,SG",,47,41,92%,54,33:04,7.4,16.3,.456,6.2,7.0,.892,2.5,23.6,3.7,6.1,1.1,0.3,3.1
Desmond Bane,ORL,"SG,SF",,49,42,92%,82,33:36,7.1,14.7,.484,3.8,4.2,.908,2.0,20.1,4.1,4.1,1.0,0.5,2.0
Cooper Flagg,DAL,"SG,SF,PF",,13,43,100%,70,33:29,8.0,17.1,.468,4.0,4.9,.827,1.0,21.0,6.7,4.5,1.2,0.9,2.3
LaMelo Ball,MIN,"PG",,20,44,99%,72,28:00,7.0,17.3,.407,2.2,2.5,.899,3.8,20.1,4.8,7.1,1.2,0.2,2.8
Dyson Daniels,ATL,"SG,SF",,63,45,87%,76,33:09,5.3,10.2,.517,1.0,1.6,.615,0.3,11.9,6.8,5.9,2.0,0.4,1.8
Tyler Herro,MIL,"PG,SG",GTD,58,46,88%,33,31:18,7.5,15.6,.480,3.0,3.3,.917,2.5,20.5,4.8,4.1,0.7,0.4,1.9
Alondes Williams,WAS,"SG,SF",,512,47,0%,4,25:15,4.0,6.5,.615,1.8,2.0,.875,1.3,11.0,6.3,3.0,0.8,0.8,1.3
Jalen Brunson,NYK,"PG",GTD,28,48,99%,74,35:00,9.3,19.9,.467,4.8,5.7,.841,2.6,26.0,3.3,6.8,0.8,0.1,2.4
Ryan Rollins,MIL,"PG,SG",,69,49,82%,74,32:06,6.6,13.9,.472,1.7,2.1,.796,2.5,17.3,4.6,5.6,1.5,0.4,2.7
Jaren Jackson Jr.,UTA,"PF,C",GTD,50,50,93%,48,30:17,7.1,15.0,.476,3.4,4.2,.803,1.8,19.4,5.7,2.0,1.1,1.4,2.2
Alperen Şengün,HOU,"PF,C",,23,51,99%,72,33:18,8.1,15.6,.519,3.6,5.2,.691,0.6,20.4,8.9,6.2,1.2,1.1,3.2
LeBron James,PHI,"SF,PF",,42,52,98%,60,33:09,7.9,15.3,.515,3.9,5.3,.737,1.3,20.9,6.1,7.2,1.2,0.6,3.0
Brandon Miller,CHA,"SF,PF",GTD,46,53,93%,65,30:16,7.0,16.1,.435,3.1,3.4,.892,3.1,20.2,4.9,3.3,1.0,0.7,2.5
Alex Sarr,WAS,"C",GTD,56,54,87%,48,27:11,6.6,13.7,.482,2.1,3.0,.692,1.0,16.3,7.4,2.7,0.8,2.0,1.7
Jaylen Brown,PHI,"SG,SF,PF",,40,55,99%,71,34:24,10.4,21.7,.477,6.0,7.5,.795,2.0,28.7,6.9,5.1,1.0,0.4,3.6
G. Antetokounmpo,MIA,"PF,C",GTD,9,56,100%,36,28:51,10.4,16.6,.624,6.4,9.9,.650,0.4,27.6,9.8,5.4,0.9,0.7,3.2
Evan Mobley,CLE,"PF,C",,32,57,98%,65,31:54,7.2,13.2,.546,2.8,4.6,.606,1.0,18.2,9.0,3.6,0.7,1.7,1.9
Kel'el Ware,MIL,"C",,82,58,80%,77,22:07,4.5,8.4,.530,0.9,1.2,.740,1.2,11.1,9.0,0.7,0.8,1.1,0.8
Jalen Suggs,ORL,"PG,SG",,102,59,68%,57,27:36,4.9,11.4,.435,1.8,2.1,.855,2.1,13.8,3.9,5.5,1.8,0.7,2.7
VJ Edgecombe,PHI,"PG,SG",,71,60,88%,75,34:58,6.0,13.7,.438,2.0,2.4,.818,2.0,16.0,5.6,4.2,1.4,0.5,1.8
Immanuel Quickley,TOR,"PG,SG",,90,61,74%,70,31:52,5.7,12.9,.443,2.4,3.0,.821,2.5,16.4,4.0,5.9,1.3,0.1,1.5
Devin Booker,PHX,"PG,SG",,33,62,99%,64,33:31,8.5,18.7,.456,7.1,8.1,.873,1.9,26.1,3.9,6.0,0.8,0.3,3.1
Dejounte Murray,NOP,"PG",,59,63,85%,14,27:47,6.3,13.0,.484,2.8,3.2,.867,1.4,16.7,5.4,6.4,1.6,0.2,3.4
Nikola Vučević,ORL,"C",,174,64,34%,64,28:24,6.2,12.5,.493,1.2,1.5,.828,1.6,15.1,8.4,3.3,0.6,0.6,1.3
Andrew Wiggins,MIA,"SG,SF,PF",,109,65,67%,68,30:20,5.7,12.1,.475,1.9,2.4,.784,2.0,15.4,4.8,2.7,1.1,1.0,1.5
Kon Knueppel,CHA,"SG,SF",,37,66,98%,81,31:29,6.4,13.4,.475,2.4,2.8,.863,3.4,18.5,5.3,3.4,0.7,0.2,2.0
Reed Sheppard,HOU,"PG,SG",,138,67,41%,82,26:10,5.0,11.5,.430,0.8,1.0,.802,2.8,13.5,2.9,3.4,1.5,0.7,1.5
Josh Giddey,CHI,"PG,SG",GTD,27,68,97%,54,32:03,5.9,13.3,.448,3.2,4.2,.763,1.9,17.0,8.3,9.1,1.0,0.5,3.6
Jarrett Allen,CLE,"C",,76,69,83%,56,27:07,6.0,9.4,.638,3.3,4.7,.709,0.0,15.4,8.5,1.8,1.0,0.8,1.3
Kristaps Porziņģis,GSW,"C",,105,70,69%,32,24:01,5.4,12.1,.446,4.2,4.9,.842,1.7,16.7,5.2,2.5,0.6,1.2,1.3
Neemias Queta,BOS,"C",,100,71,69%,76,25:20,4.3,6.6,.653,1.6,2.3,.703,0.0,10.2,8.4,1.7,0.8,1.3,1.0
Deni Avdija,POR,"SG,SF,PF",,41,72,97%,66,33:19,7.5,16.1,.462,7.4,9.2,.802,1.9,24.2,6.9,6.7,0.8,0.6,3.8
Brandon Ingram,TOR,"SG,SF,PF",GTD,77,73,83%,77,33:49,8.0,16.7,.477,3.8,4.6,.820,1.8,21.5,5.6,3.7,0.8,0.7,2.4
Jaden McDaniels,MIN,"SF",,74,74,82%,73,31:43,5.7,11.1,.515,2.0,2.4,.835,1.4,14.8,4.2,2.7,1.1,1.0,1.8
Mark Williams,PHX,"C",INJ,96,75,64%,60,23:36,4.7,7.3,.644,2.3,2.9,.771,0.0,11.7,8.0,1.0,0.9,0.9,1.1
Grayson Allen,CHA,"SG,SF",,171,76,20%,51,28:45,5.3,13.1,.403,2.8,3.3,.857,3.1,16.5,3.0,3.8,1.4,0.3,1.6
De'Aaron Fox,SAS,"PG",,84,77,80%,72,30:59,7.1,14.5,.486,2.6,3.4,.760,1.8,18.6,3.8,6.2,1.2,0.3,2.3
DeMar DeRozan,DEN,"SF,PF",,122,78,62%,77,31:15,6.5,13.1,.497,4.9,5.6,.868,0.6,18.4,2.9,4.1,1.0,0.3,1.2
Payton Pritchard,BOS,"PG",,80,79,80%,79,32:21,6.4,13.8,.464,1.5,1.7,.890,2.7,17.0,3.9,5.2,0.7,0.1,1.4
Jalen Williams,OKC,"SF,PF",GTD,43,80,95%,33,28:21,6.5,13.5,.484,3.3,3.9,.837,0.7,17.1,4.6,5.5,1.2,0.3,1.9
Norman Powell,CHI,"SG,SF",,91,81,77%,58,29:36,7.3,15.4,.470,4.5,5.5,.827,2.7,21.7,3.5,2.5,1.1,0.2,1.9
Josh Hart,NYK,"SG,SF",,97,82,78%,66,30:12,4.6,9.0,.508,1.4,1.9,.720,1.5,12.0,7.4,4.8,1.1,0.3,1.9
Keegan Murray,SAC,"SF,PF",GTD,118,83,59%,23,34:28,5.5,13.0,.420,1.7,2.1,.776,1.3,14.0,5.7,1.7,1.0,1.6,1.2
Franz Wagner,ORL,"SF,PF",GTD,51,84,92%,34,29:58,7.2,14.9,.481,4.8,5.8,.823,1.4,20.6,5.2,3.3,0.9,0.3,1.7
Naz Reid,CHA,"PF,C",,61,85,87%,77,26:03,5.2,11.3,.456,1.2,1.6,.732,2.1,13.6,6.2,2.2,1.0,1.0,1.6
Matas Buzelis,CHI,"SF,PF",,83,86,83%,77,29:11,5.8,12.5,.463,2.4,3.1,.786,2.2,16.3,5.8,2.1,0.7,1.5,2.1
Tre Jones,CHI,"PG,SG",,173,87,15%,65,26:57,5.2,9.5,.553,2.9,3.5,.841,0.6,14.1,3.1,5.4,1.2,0.2,1.4
Saddiq Bey,NOP,"SF,PF",,126,88,46%,72,31:11,6.1,13.4,.451,3.4,4.1,.841,2.1,17.7,5.6,2.5,0.9,0.1,0.9
Collin Gillespie,PHX,"PG,SG",,131,89,29%,80,28:31,4.4,10.5,.418,1.0,1.1,.874,2.9,12.7,4.1,4.6,1.2,0.2,1.6
Jabari Smith Jr.,HOU,"PF,C",,111,90,70%,77,35:07,5.7,12.6,.450,2.1,2.7,.775,2.3,15.8,6.9,1.9,0.7,0.9,1.4
Julius Randle,BKN,"PF",,64,91,87%,79,33:02,7.3,15.3,.481,5.0,6.3,.802,1.4,21.1,6.7,5.0,1.1,0.2,2.7
Donte DiVincenzo,MIN,"SG,SF",INJ,251,92,12%,82,30:24,4.1,10.2,.406,1.0,1.3,.743,3.0,12.2,4.1,3.8,1.3,0.4,1.4
Darius Garland,LAC,"PG",,53,93,88%,45,29:52,6.9,14.9,.460,2.3,2.7,.861,2.7,18.8,2.4,6.7,1.0,0.2,2.9
Cormac Ryan,MIL,"PG,SG",,457,94,0%,11,24:38,4.8,9.3,.520,2.2,2.4,.923,2.5,14.3,2.5,1.7,1.0,0.3,1.5
Rudy Gobert,MIN,"C",,78,95,84%,76,31:19,4.4,6.5,.682,2.1,4.0,.526,0.0,10.9,11.5,1.7,0.8,1.6,1.4
Ausar Thompson,DET,"SG,SF,PF",,92,96,79%,73,25:58,4.2,7.9,.525,1.5,2.6,.571,0.1,9.9,5.7,3.1,2.0,0.9,1.5
Kyshawn George,WAS,"SG,SF,PF",,106,97,64%,48,28:58,5.3,12.0,.438,2.2,2.7,.802,2.1,14.8,5.1,4.5,1.0,0.9,2.6
Isaiah Hartenstein,OKC,"C",GTD,99,98,70%,47,24:11,3.9,6.3,.622,1.4,2.2,.610,0.0,9.2,9.4,3.5,1.0,0.8,1.7
Ayo Dosunmu,MIN,"PG,SG",,101,99,67%,69,27:15,5.6,10.8,.517,1.8,2.1,.876,1.8,14.8,3.4,3.6,0.8,0.3,1.4
Deandre Ayton,WAS,"C",,160,100,20%,72,27:11,5.6,8.3,.671,1.3,2.0,.645,0.0,12.5,8.0,0.8,0.6,1.0,1.2
Jay Huff,IND,"C",,165,101,13%,82,20:57,3.5,7.5,.476,1.0,1.2,.828,1.5,9.5,4.0,1.5,0.5,1.9,0.9
Julian Champagnie,SAS,"SF,PF",,151,102,22%,82,27:37,3.7,8.4,.437,1.4,1.6,.844,2.4,11.1,5.8,1.5,0.8,0.5,0.8
Pascal Siakam,IND,"PF,C",,52,103,95%,62,33:10,9.0,18.6,.484,4.2,6.1,.693,1.7,24.0,6.6,3.8,1.1,0.4,2.2
Ajay Mitchell,OKC,"PG,SG",GTD,142,104,28%,57,25:50,5.0,10.4,.485,2.5,2.8,.870,1.1,13.6,3.3,3.6,1.2,0.3,1.4
Myles Turner,MIL,"C",,95,105,74%,71,26:55,4.0,9.1,.440,1.8,2.5,.740,2.1,11.9,5.3,1.5,0.7,1.6,1.2
Bez Mbeng,CHA,"PG,SG",,431,106,0%,15,32:48,3.3,6.7,.500,1.1,1.7,.640,0.4,8.1,3.8,4.1,2.3,0.3,1.5
Cason Wallace,OKC,"PG,SG,SF",,154,107,43%,77,26:34,3.3,7.6,.432,0.7,0.9,.809,1.3,8.6,3.1,2.6,1.9,0.4,0.9
Kelly Oubre Jr.,IND,"SF,PF",,145,108,23%,50,31:28,5.1,10.9,.467,2.2,2.9,.766,1.7,14.1,5.0,1.6,1.4,0.5,1.4
Jalen Slawson,IND,"SF,PF",,439,109,0%,13,23:55,2.6,5.9,.442,0.9,1.3,.706,1.2,7.3,4.4,2.8,1.5,1.1,1.3
Jrue Holiday,POR,"PG,SG",,133,110,33%,53,29:25,6.0,13.4,.451,1.7,2.0,.838,2.6,16.3,4.6,6.1,1.0,0.1,2.8
Zion Williamson,NOP,"PF,C",,72,111,86%,62,29:41,7.8,13.0,.600,5.4,7.5,.716,0.0,21.0,5.7,3.2,1.0,0.5,2.0
Tobias Harris,SAS,"PF",,183,112,19%,63,27:42,4.9,10.5,.469,2.2,2.5,.866,1.3,13.3,5.1,2.5,0.9,0.4,1.0
Devin Vassell,SAS,"SG,SF",,161,113,30%,67,30:30,4.9,11.3,.437,1.6,1.9,.815,2.5,13.9,4.0,2.5,0.9,0.4,0.9
Cam Spencer,MEM,"PG,SG",,208,114,9%,72,23:48,3.7,7.7,.473,1.8,1.9,.940,2.0,11.1,2.5,5.6,0.7,0.2,1.3
Robert Williams III,POR,"C",,170,115,10%,59,17:04,3.0,4.2,.708,0.6,1.0,.596,0.2,6.7,7.0,1.0,0.6,1.5,0.8
Miles Bridges,PHX,"PF",,104,116,73%,77,31:00,6.2,13.5,.460,2.7,3.3,.822,1.9,17.1,5.8,3.2,0.6,0.4,1.4
John Collins,DET,"PF,C",,121,117,60%,69,27:07,5.3,9.6,.552,1.7,2.2,.766,1.3,13.6,5.3,1.0,0.9,0.7,1.4
Ivica Zubac,IND,"C",,68,118,85%,48,30:07,6.0,10.0,.598,2.1,3.0,.711,0.0,14.1,10.6,2.2,0.4,0.8,1.8
Zach LaVine,SAC,"PG,SG,SF",GTD,125,119,59%,39,31:22,6.7,14.0,.479,3.2,3.6,.880,2.5,19.2,2.8,2.3,0.7,0.3,1.9
Santi Aldama,DAL,"PF",GTD,190,120,13%,43,27:51,5.3,11.1,.479,1.8,2.7,.667,1.6,14.0,6.7,2.9,0.9,0.7,1.3
Jakob Poeltl,TOR,"C",,136,121,31%,46,24:58,4.7,6.7,.700,1.3,2.1,.602,0.0,10.7,7.0,2.0,0.9,0.7,1.2
Domantas Sabonis,SAC,"PF,C",GTD,34,122,97%,19,29:40,6.3,11.6,.543,2.9,4.1,.727,0.3,15.8,11.4,4.1,0.9,0.2,2.7
Daniel Gafford,DAL,"C",,134,123,26%,55,21:43,3.8,5.7,.655,2.0,2.9,.683,0.0,9.5,6.9,1.1,0.8,1.3,1.1
Peyton Watson,CLE,"SF,PF",GTD,113,124,62%,54,29:35,5.3,10.8,.491,2.6,3.5,.730,1.5,14.6,4.9,2.1,0.9,1.1,1.7
Aaron Gordon,DEN,"PF,C",,156,125,40%,36,27:55,5.5,11.1,.497,3.5,4.5,.767,1.7,16.2,5.8,2.7,0.6,0.3,1.1
Brandin Podziemski,GSW,"PG,SG",,107,126,62%,82,28:27,4.8,10.6,.455,2.3,2.9,.797,1.9,13.8,5.1,3.7,1.1,0.2,1.6
