PLAYER,TEAM,POS,STATUS,PRE_RANK,CUR_RANK,PCT_OWNED,GP,MIN,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,PTS,REB,AST,STL,BLK,TOV
Collin Sexton,LAL,"PG,SG",,187,184,19%,68,23:44,5.3,10.9,.485,3.2,3.8,.855,1.6,15.4,2.3,3.3,1.1,0.1,2.1
Isaiah Stewart,MEM,"PF,C",,157,185,20%,58,22:42,3.8,6.9,.550,1.7,2.3,.756,0.7,10.0,5.0,1.1,0.3,1.6,1.2
Isaiah Joe,DET,"SG,SF",,213,186,7%,71,21:13,3.5,7.6,.455,1.5,1.7,.894,2.5,11.1,2.5,1.3,0.7,0.2,0.6
Malachi Smith,TOR,"SG",,445,187,0%,15,23:55,3.2,6.6,.485,0.5,0.5,1.000,1.3,8.3,3.4,3.3,0.8,0.3,0.9
Leaky Black,WAS,"SF,PF",NA,450,188,0%,15,28:52,2.7,6.9,.388,0.5,0.5,.875,1.3,7.1,5.0,1.5,1.2,0.5,0.9
Russell Westbrook,SAC,"PG,SG",NA,262,189,2%,64,28:57,5.6,13.1,.427,2.0,2.9,.694,2.0,15.2,5.4,6.7,1.3,0.2,3.3
T.J. McConnell,IND,"PG",,247,190,5%,56,17:12,4.3,8.0,.538,0.4,0.5,.862,0.3,9.4,2.2,5.1,1.0,0.2,1.1
Max Christie,DAL,"SG,SF",,219,191,8%,77,29:08,4.2,9.4,.441,1.6,1.8,.899,2.3,12.3,3.2,2.0,0.6,0.4,1.2
Ace Bailey,UTA,"SF,PF",,152,192,32%,72,27:36,5.5,12.4,.443,0.9,1.2,.750,1.9,13.8,4.2,1.8,0.8,0.7,1.5
Collin Murray-Boyles,TOR,"PF,C",GTD,128,193,45%,57,21:51,3.5,6.0,.579,1.2,1.9,.657,0.3,8.5,5.0,1.9,0.9,0.9,1.0
De'Anthony Melton,GSW,"PG,SG",,204,194,7%,49,22:57,4.4,10.8,.407,2.0,2.5,.826,1.5,12.3,3.2,2.6,1.6,0.4,1.9
Kevin Huerter,DET,"SG,SF",,257,195,2%,69,22:27,3.9,8.6,.451,0.8,1.0,.775,1.4,10.0,3.5,2.6,0.9,0.5,1.0
Ziaire Williams,LAL,"SG,SF",,270,196,2%,56,22:52,3.3,7.7,.425,2.1,2.5,.850,1.5,10.2,2.4,1.1,1.4,0.4,1.1
Obi Toppin,IND,"SF,PF",,333,197,3%,24,17:40,4.2,8.3,.503,1.8,1.9,.913,1.5,11.6,4.4,2.3,0.5,0.0,1.2
Keldon Johnson,SAS,"SF,PF",,196,198,13%,82,23:18,5.0,9.7,.519,1.9,2.4,.794,1.2,13.2,5.4,1.4,0.6,0.1,0.9
Tristan da Silva,ORL,"SF,PF",,225,199,4%,77,24:39,3.6,8.1,.450,1.1,1.2,.884,1.6,9.9,3.7,1.6,0.9,0.3,0.9
Blake Hinson,UTA,"PF,C",,468,200,0%,14,20:21,4.2,8.2,.513,0.9,1.1,.750,2.6,11.9,2.4,1.1,0.4,0.1,0.4
Micah Potter,POR,"PF,C",,311,201,1%,47,19:19,3.2,6.2,.515,1.8,2.1,.842,1.5,9.7,5.0,1.5,0.5,0.3,1.0
Dereck Lively II,DAL,"C",GTD,211,202,14%,7,16:25,1.6,2.6,.611,1.1,1.4,.800,0.0,4.3,5.3,1.9,0.6,1.6,1.4
Precious Achiuwa,SAC,"PF,C",,198,203,7%,73,23:54,4.3,8.2,.528,1.1,1.9,.554,0.4,10.1,6.7,1.4,0.9,0.7,0.9
Tim Hardaway Jr.,MIA,"SG,SF",,184,204,12%,80,26:35,4.4,9.7,.447,2.0,2.5,.811,2.8,13.5,2.6,1.4,0.5,0.1,0.5
Marcus Smart,HOU,"PG,SG",,278,205,3%,62,28:31,3.0,7.7,.395,1.7,2.1,.822,1.6,9.3,2.8,3.0,1.4,0.4,1.5
Dylan Harper,SAS,"PG,SG",,79,206,84%,69,22:34,4.8,9.5,.505,1.3,1.7,.756,0.9,11.8,3.4,3.9,0.8,0.3,1.4
Day'Ron Sharpe,BKN,"C",,88,207,73%,62,18:42,3.5,5.7,.601,1.7,2.5,.678,0.1,8.7,6.7,2.3,1.1,0.4,1.7
Jake LaRavia,LAL,"SF,PF",,249,208,6%,82,25:07,2.9,6.4,.459,1.4,1.9,.763,1.0,8.2,4.0,1.8,1.3,0.5,1.1
Paul Reed,DET,"PF,C",,141,209,21%,65,13:51,3.2,5.2,.617,1.1,1.7,.664,0.2,7.8,4.5,1.2,0.9,0.9,0.9
Anfernee Simons,PHI,"PG,SG",,181,210,13%,55,24:57,5.2,11.8,.440,1.3,1.4,.896,2.7,14.3,2.5,2.4,0.5,0.1,1.2
Goga Bitadze,ORL,"C",,263,211,2%,64,15:11,2.4,3.5,.676,1.1,1.5,.711,0.0,5.9,5.0,1.3,0.6,1.0,0.7
Javon Small,MEM,"PG,SG",,344,212,1%,41,20:14,3.3,7.0,.465,1.7,2.0,.829,1.5,9.7,3.1,3.7,0.8,0.2,1.4
Marvin Bagley III,DEN,"PF,C",,221,213,4%,60,20:01,4.2,6.9,.618,1.6,2.4,.660,0.4,10.5,6.1,1.4,0.5,0.7,1.0
David Roddy,DEN,"SF,PF",,491,214,0%,5,14:36,3.0,6.0,.500,1.4,1.4,1.000,0.6,8.0,4.0,0.8,0.8,0.2,0.4
Draymond Green,GSW,"PF,C",,147,215,28%,68,27:29,3.0,7.2,.418,0.9,1.2,.702,1.5,8.4,5.5,5.5,0.9,0.6,2.7
Brook Lopez,LAC,"C",,139,216,21%,75,21:48,3.1,7.2,.428,0.7,1.0,.757,1.5,8.5,3.6,1.3,0.6,1.2,0.8
Hayden Gray,UTA,"SG",,578,217,0%,1,25:00,2.0,3.0,.667,2.0,2.0,1.000,0.0,6.0,0.0,1.0,1.0,1.0,1.0
Max Strus,LAC,"SF,PF",,235,218,5%,12,24:00,3.9,8.8,.443,0.6,0.8,.778,2.8,11.2,5.4,2.0,0.3,0.0,0.8
Jeremiah Fears,NOP,"PG,SG",,159,219,28%,82,25:45,5.3,12.3,.434,2.4,3.0,.789,1.2,14.3,3.7,3.4,1.2,0.4,2.2
Javonte Green,DET,"SG,SF",,254,220,1%,82,17:37,2.3,5.0,.447,1.3,1.5,.840,1.1,6.9,2.8,0.7,1.2,0.3,0.5
Chaney Johnson,BKN,"PF",,438,221,0%,17,20:28,3.0,5.5,.543,1.6,2.1,.800,0.5,8.2,4.6,2.1,0.9,0.5,1.2
Dominick Barlow,PHI,"PF,C",,274,222,2%,71,23:47,3.0,5.6,.539,1.3,1.8,.718,0.3,7.7,4.8,1.2,0.9,0.7,0.8
Aaron Nesmith,IND,"SG,SF",,199,223,13%,45,29:40,4.7,11.4,.414,2.0,2.5,.829,2.3,13.8,4.2,1.9,0.6,0.5,1.4
Gary Payton II,GSW,"SG,SF",,265,224,1%,73,15:38,3.3,5.7,.583,0.4,0.5,.650,0.5,7.5,3.6,1.7,0.9,0.3,0.8
Josh Minott,BKN,"SF,PF",,321,225,1%,49,17:01,2.6,5.1,.500,1.0,1.2,.787,1.3,7.4,3.2,0.9,0.9,0.5,0.9
Isaiah Collier,UTA,"PG,SG",,164,226,14%,59,25:42,4.3,8.7,.495,2.6,3.5,.722,0.5,11.7,2.5,7.2,1.1,0.3,2.5
